              18005  H2O v2,2v2,v 
  355733.5849 17.2817-19.7241 3 7985.1318123  18005140420 318 2    20 219 3     
  357178.9480  0.1000-15.2759 3 5430.1837 63 -18005140410 5 5 4     9 7 2 3     
  363650.9161  6.8760-18.6660 3  7474.951 27  1800514041311 3 2    1410 4 3     
  363660.7075  6.8779-18.1889 3 7474.9507 81  1800514041311 2 2    1410 5 3     
  366694.4993  1.4340-17.8528 3 3831.1789 25  18005140412 4 8 1    1311 3 0     
  370223.2588 23.2392-20.4108 3 8010.5318 43  18005140421 220 2    21 121 3     
  372692.8881  6.9394-20.3173 3 5720.7193 99  1800514041614 3 0    16 710 1     
  373358.2461 23.2612-19.9389 3 8010.5315129  18005140421 120 2    21 021 3     
  373512.4872 12.6943-19.4571 3 8166.5824117  18005140419 316 3    19 415 2     
  374120.7747  0.5912-14.0855 3 4387.0628 57  180051404 9 2 7 2     8 1 8 3     
  376549.5190  0.1500-11.5975 3 4381.9041 39 -180051404 6 4 3 3     5 5 0 3     
  378666.4410  0.1500-12.5574 3  4996.332 51 -180051404 8 7 2 2     9 6 3 2     
  379219.2089  5.6779-19.2239 3 7406.9529 99  18005140416 710 2    16 611 3     
  380686.6899  7.2252-17.8672 3 7032.7353 33  18005140416 511 2    15 610 3     
  381399.4873  4.2425-17.8706 3 6589.7464 27  18005140413 8 6 2    14 5 9 3     
  381653.5203  1.5308-14.0894 3 5728.6607 23  18005140411 7 5 2    10 8 2 2     
  382720.5248  1.5249-13.6099 3 5728.6606 69  18005140411 7 4 2    10 8 3 2     
  384076.9690  0.1500-10.2252 3 3864.7638 27 -180051404 4 1 4 3     3 2 1 3     
  392680.1005  0.0956-10.6964 3  4368.637 51  180051404 8 4 5 2     7 5 2 2     
  395171.9113  7.6328-20.2035 3 4967.0416 87  18005140414 7 8 1    1414 1 0     
  399268.6382  0.7177-16.0832 3 5008.9632 19  180051404 9 3 6 4     8 7 1 2     
  402914.5940  0.1500 -9.3887 3  3722.731 39 -180051404 6 2 5 2     5 3 2 2     
  403492.4210  0.1500 -9.7887 3 3482.4802  9 -180051404 4 2 2 2     5 1 5 2     
  404962.9288 12.3273-19.1443 3 7221.4579 37  18005140418 117 3    19 218 2     
  407857.3449  4.8128-18.7958 3 6938.5846 31  18005140415 411 4    14 8 6 2     
  410905.5441  3.9721-18.1404 3 5241.7425111  18005140418 910 0    19 019 1     
  410983.3045  1.4240-12.1739 3 4497.1924 23  18005140411 9 3 1    1010 0 1     
  410984.8097  1.4240-11.6968 3 4497.1924 69  18005140411 9 2 1    1010 1 1     
  413973.3652  0.5448-17.4668 3 2688.0799 63  1800514041010 1 0     9 1 8 1     
  416158.9242  5.8252-18.5508 3 7885.9263105  18005140417 612 4    18 315 4     
  417670.5771  0.6764-15.0459 3 4850.4413 21  18005140410 4 6 2     9 3 7 3     
  419943.4203 10.7147-18.5514 3 7220.9608111  18005140418 217 3    19 118 2     
  421512.8143  7.3039-18.9682 3 7871.7373 37  18005140418 415 4    17 512 4     
  424954.3366  1.3817-16.1510 3 6475.4462 29  18005140414 410 3    15 313 3     
  425689.1900  0.1500 -7.8331 3 2905.4336 51 -180051404 8 5 4 1     7 6 1 1     
  427286.6968  1.1159-15.2714 3 5062.0134 63  18005140410 3 8 3    11 111 4     
  427522.3287  0.4893-12.7094 3 4994.7026 17  180051404 8 7 1 2     9 6 4 2     
  429930.3982  6.5376-17.8040 3 7308.7685 99  18005140416 412 4    17 413 2     
  430012.7860  0.1500-10.8292 3 3962.9179  9 -180051404 4 1 4 4     3 2 1 4     
  430382.1414 12.9322-19.2727 3 7587.1942 39  18005140419 218 3    19 317 2     
  431632.9326 18.3300-19.5202 3 7613.1872 41  18005140420 020 3    20 119 2     
  431901.5107 18.3199-19.0407 3 7613.1784123  18005140420 120 3    20 219 2     
  435168.9837  0.1478-11.7757 3 4564.3666 15  180051404 7 6 2 2     8 5 3 2     
  437561.0192  3.9299-18.5239 3 6134.8987 99  18005140416 215 2    17 710 1     
  437764.0586  0.6047-12.9007 3 4769.0385 19  180051404 9 5 5 2     8 4 4 3     
  438534.5824  0.1729-15.2535 3 4050.5038 11  180051404 5 2 4 3     5 5 1 2     
  438690.6075 12.9799-18.7740 3 7586.9157117  18005140419 118 3    19 217 2     
  438723.3610  0.5000 -9.1487 3 3306.2956 19 -180051404 9 6 4 1     8 7 1 1     
  440407.2744  4.4266-16.9724 3 6798.7186 93  18005140415 6 9 2    14 6 8 4     
  440736.9100  0.1500 -8.2801 3 2905.4307 17 -180051404 8 5 3 1     7 6 2 1     
  441238.4060  0.3000 -8.6666 3 3306.2952 57 -180051404 9 6 3 1     8 7 2 1     
  441458.9651  0.4829-14.3033 3 4663.1507 13  180051404 6 6 0 3     7 4 3 4     
  445937.5700  6.7801-16.6452 3 6868.0731 75  1800514041210 3 2    1111 0 2     
  445937.8438  6.7800-17.1224 3 6868.0731 25  1800514041210 2 2    1111 1 2     
  447986.4147  0.2131-11.2841 3 4564.0348 45  180051404 7 6 1 2     8 5 4 2     
  449241.5651  3.6004-15.2116 3 5781.9583 87  18005140414 014 4    13 4 9 2     
  450509.1290  0.2807-13.3259 3 4846.7759 51  180051404 8 4 4 4     7 6 1 3     
  451182.8092  0.8749-14.4058 3 4837.6995 63  18005140410 010 4     9 2 7 3     
  452071.6647  0.1384-12.1873 3 4050.0523 11  180051404 5 2 4 3     4 2 3 4     
  452118.0404 11.7936-19.6684 3  7219.885 37  18005140418 117 3    19 812 1     
  452222.9848  7.1096-20.3357 3 7135.3209105  1800514041711 6 1    16 313 4     
  454387.2653  0.7492-14.0733 3 5683.3327 69  18005140411 5 7 4    12 210 4     
  456938.4436  1.4308-17.9948 3 3922.3311 31  18005140415 115 1    1410 4 0     
  459122.7087  0.2763-14.7863 3 4353.2313 15  180051404 7 5 3 2     7 2 6 3     
  459154.0745  1.6664-16.9465 3 5581.1091 25  18005140412 5 7 2    12 210 3     
  460134.5448  3.5481-17.9822 3 6347.2915 31  18005140415 412 2    14 311 3     
  461498.9555  1.0530-14.4727 3 5830.2594 69  18005140411 6 6 4    12 3 9 4     
  461994.4613  2.0474-15.1489 3 6013.4479 81  18005140413 310 3    12 5 7 4     
  463170.4630  0.0300 -6.3551 3 1907.4514  9 -180051404 4 2 2 1     3 3 1 1     
  464345.8340  0.1500-11.1975 3 4134.7983 11 -180051404 5 3 3 3     4 4 0 3     
  464751.4404  0.3361-12.3838 3 4332.9123 45  180051404 7 1 6 3     7 1 7 4     
  464811.1085  0.8710-13.4965 3 5153.5348 21  18005140410 3 7 3    11 210 3     
  470088.3140  0.6091-14.0183 3 5418.8035 21  18005140410 5 6 4    11 2 9 4     
  471541.1212  1.3425-14.3629 3 5826.1337 25  18005140412 4 9 4    12 4 8 3     
  474038.0884  0.1398-13.3992 3 3875.0171  7  180051404 3 0 3 4     4 0 4 3     
  476836.8937 12.5876-16.6150 3 6852.1675 23  1800514041111 1 2    1111 0 4     
  476836.8969 12.5876-16.1379 3 6852.1675 69  1800514041111 0 2    1111 1 4     
  478778.8180  0.1000-10.1386 3 3935.3446 27 -180051404 4 2 3 3     3 3 0 3     
  480010.6067  6.0129-17.4304 3 7280.5928 93  18005140415 8 7 2    14 9 6 3     
  484932.4312  5.5137-17.8300 3 7280.5994 31  18005140415 8 8 2    14 9 5 3     
  485110.5710  8.1525-19.1613 3 8193.3556 99  1800514041610 7 3    1511 4 2     
  485216.2861 13.0104-19.6382 3 8193.3568 33  1800514041610 6 3    1511 5 2     
  487951.3878  2.7966-15.9707 3 6347.2915 27  18005140413 6 8 3    14 311 3     
  489068.1366  2.3812-16.4586 3 6028.8584 87  18005140414 113 4    13 310 3     
  489453.4016  2.5959-16.0814 3  6596.222 81  18005140413 7 7 4    14 410 4     
  494120.0537  2.5787-15.8010 3 6579.7399 87  18005140414 410 4    15 313 4     
  494645.6376  1.6639-18.6563 3 4752.7328 23  1800514041110 2 1    10 3 7 2     
  496901.2435  1.5190-18.2266 3 4830.6144 33  18005140416 214 1    17 9 9 0     
  497630.1397  7.4011-20.2197 3 6868.8876105  18005140417 116 3    1710 7 1     
  498431.2161  1.1951-16.2522 3 5300.1782 69  18005140411 2 9 3    11 5 6 2     
  498450.2890  2.5540-19.2152 3 4902.6267 33  1800514041611 5 0    17 216 1     
  498502.5070  0.0500 -7.4051 3 2552.8798 15 -180051404 7 4 4 1     6 5 1 1     
  500423.6152  4.1101-16.3467 3 6458.0121 93  18005140415 213 3    16 314 2     
  500620.2585  2.4897-18.7798 3  5381.552 25  18005140412 111 3    1310 4 1     
  501159.9387  0.5265-16.5645 3 3127.8619 75  18005140412 112 1    13 8 5 0     
  501514.6359  2.6669-15.8889 3 5996.6369 69  18005140411 7 5 4    10 9 2 2     
  502715.8605  0.5408-15.5355 3 5196.5005 17  180051404 8 7 1 3     9 5 4 4     
  503659.1303  1.7475-20.0861 3 4480.3921 21  1800514041010 0 1    10 1 9 2     
  504900.5584  1.0200-12.4828 3 4992.1213 51  180051404 8 7 2 2     9 4 5 3     
  505852.1018  2.6691-16.3627 3 5996.6369 23  18005140411 7 4 4    10 9 1 2     
  508495.8131  1.1435-16.7574 3 5238.3852 69  18005140411 210 4    10 6 5 2     
  512913.1013 11.8967-18.6367 3 7996.9978117  18005140419 317 4    20 318 2     
  513851.0506  0.2588-11.7607 3 4232.3842 13  180051404 6 2 4 3     7 1 7 3     
  515928.3500  0.8654-14.4056 3 4644.2169 19  180051404 9 0 9 4    10 2 8 2     
  516230.1810  0.2000 -9.3093 3 3299.9911  5 -180051404 2 2 0 2     3 1 3 2     
  516338.6678  0.8200-13.7380 3 5229.5773 21  18005140410 4 6 3     9 7 3 2     
  518149.2674 14.9032-20.2403 3 8905.2181135  18005140422 914 1    23 617 1     
  518318.5687 11.8963-19.1007 3 7996.8152 39  18005140419 217 4    20 218 2     
  518753.1373  4.3026-16.3187 3 6847.0907 87  18005140414 7 8 3    15 411 3     
  522104.9705  1.0267-16.8601 3 3922.3311 29  18005140414 113 1    1410 4 0     
  522451.2874  6.2035-19.8136 3 5918.1727 27  1800514041312 2 1    12 5 7 3     
  523121.5933  0.6115-14.2691 3 4643.9991 57  180051404 9 1 9 4     8 3 6 3     
  524293.0210  0.0400 -9.1549 3 3779.4931  3 -180051404 1 1 0 4     1 0 1 4     
  525523.7141  5.2379-18.0093 3 7331.4955 35  18005140417 513 2    16 512 4     
  526399.1189  5.2096-19.0120 3 6641.8882 99  18005140416 115 4    15 510 2     
  526487.1430  0.1500-10.1747 3 4016.0528 15 -180051404 7 3 5 2     6 4 2 2     
  531127.2898  0.3130-11.6274 3 4507.5228 29  18005140414 410 1    15 313 1     
  532253.6069  2.5495-15.3665 3 5764.2042 81  18005140413 4 9 2    13 212 4     
  532640.3414  0.9299-11.1054 3  4368.546 17  180051404 8 4 4 2     7 5 3 2     
  532676.0175  2.2844-15.8101 3 6032.0808 75  18005140412 6 7 3    12 7 6 2     
  533242.7970  0.2550-11.5293 3 4332.9123 39  180051404 6 2 4 4     7 1 7 4     
  533290.4431  0.9651-13.4013 3 5421.2676 69  18005140411 3 8 3    11 3 9 4     
  536540.5117  0.9268-16.8346 3 5847.7066 21  18005140410 8 2 3    11 6 5 4     
  537499.5401  0.7503-13.6179 3 5069.0882 19  180051404 9 4 5 4    10 2 8 3     
  538436.2043  0.5347-12.2040 3 4677.8762 15  180051404 7 5 3 3     6 6 0 3     
  538438.0708  0.5161-11.7247 3  4677.876 45  180051404 7 5 2 3     6 6 1 3     
  539056.6401  2.9679-17.0442 3 6345.5868 27  18005140413 6 8 3    13 7 7 2     
