  614309.5658  2.1666-14.1672 3 5680.7868 39  18003140419 911 0    20 614 0     
  620293.9651  1.1653-12.0811 3 5031.9777117  18003140419 514 0    20 417 0     
  620700.9549  0.0006 -2.7692 3  488.1077 33 -180031404 5 3 2 0     4 4 1 0     
  624732.7750  5.8384-16.9250 3 7210.3271 47  18003140423 717 0    24 420 0     
  645766.1230  0.0300 -6.1081 3 1789.0429 19 -180031404 9 7 3 0     8 8 0 0     
  645905.7060  0.0500 -5.6308 3 1789.0429 57 -180031404 9 7 2 0     8 8 1 0     
  723142.3610  9.8873-19.4330 3 8554.6415 53  18003140426 521 0    25 818 0     
  752033.1430  0.1000 -0.9985 3   70.0908  5 -180031404 2 1 1 0     2 0 2 0     
  766793.5950  0.1000 -6.2559 3 1960.2074 23 -18003140411 5 7 0    12 210 0     
  826549.8880  0.2000 -9.9788 3 4174.2875111 -18003140418 415 0    17 512 0     
  841050.7130  0.0500 -5.2187 3 1690.6644 63 -18003140410 5 6 0    11 2 9 0     
  854049.8140  0.0750 -6.2515 3 2246.8849 75 -18003140412 5 8 0    13 211 0     
  863839.1690  0.0500 -6.3168 3 2225.4692 63 -18003140410 8 3 0     9 9 0 0     
  863859.9580  0.0500 -6.7939 3 2225.4692 21 -18003140410 8 2 0     9 9 1 0     
  906205.8970  0.0500 -4.0467 3 1050.1577 19 -180031404 9 2 8 0     8 3 5 0     
  912009.2355  0.7759-10.8948 3 4608.2235111  18003140418 613 0    19 316 0     
  916171.5800  0.1000 -2.3755 3  285.2193  9 -180031404 4 2 2 0     3 3 1 0     
  949163.9126 12.3707-17.1917 3 7729.3348147  18003140424 718 0    25 421 0     
  960654.7164  0.6441-10.2919 3 4174.2875 99  18003140416 8 9 0    17 512 0     
  963272.6065  1.3026-12.9797 3 5481.1022 41  18003140420 515 0    19 812 0     
  968030.6201  7.4814-17.5568 3 7999.0128153  18003140425 520 0    24 817 0     
  970315.0450  0.0300 -2.3213 3  383.8425 11 -180031404 5 2 4 0     4 3 1 0     
  987926.7590  0.0300 -1.1374 3   37.1371  5 -180031404 2 0 2 0     1 1 1 0     
 1000947.6330  0.2000 -8.0989 3 3211.2127 93 -18003140415 411 0    16 314 0     
 1005175.9769  3.6406-15.4132 3 6654.2960 45  18003140422 616 0    21 913 0     
 1048410.7553 10.4839-18.1988 3 8262.8412153  18003140425 619 0    26 522 0     
 1068677.4650  0.2000 -7.1670 3 2550.8825 27 -18003140413 5 9 0    14 212 0     
 1097364.7900  0.0100 -0.3222 3  136.7617 21 -180031404 3 1 2 0     3 0 3 0     
 1101130.2990  0.0750 -6.4579 3 2105.8679 23 -18003140411 6 6 0    12 3 9 0     
 1109597.8680  0.0450 -5.0892 3 1437.9686 19 -180031404 9 5 5 0    10 2 8 0     
 1113343.0070  0.0500 -0.8396 3    0.0000  3 -180031404 1 1 1 0     0 0 0 0     
 1146621.3460  0.0500 -3.4575 3  744.1627 45 -180031404 7 2 5 0     8 1 8 0     
 1153126.8210  0.0030 -1.1319 3  134.9016 21 -180031404 3 1 2 0     2 2 1 0     
 1153370.5830  0.0130 -5.2425 3 1774.7511 69 -18003140411 3 8 0    12 211 0     
 1155164.9325  0.4105 -7.5596 3 2701.8886 23  18003140411 9 3 0    1010 0 0     
 1155168.0073  0.4105 -7.0825 3 2701.8886 69  18003140411 9 2 0    1010 1 0     
 1158323.8490  0.0300 -2.1322 3  610.3412 39 -180031404 6 3 4 0     5 4 1 0     
 1162855.1412  5.6401-16.7661 3 7459.6776 49  18003140424 519 0    23 816 0     
 1162911.6020  0.0040 -0.2835 3  173.3658 21 -180031404 3 2 1 0     3 1 2 0     
 1168358.4870  0.0500 -3.4541 3 1216.1945 51 -180031404 8 5 4 0     7 6 1 0     
 1172525.8310  0.0500 -3.2096 3  888.6327 15 -180031404 7 4 4 0     6 5 1 0     
 1190828.9460  0.0300 -3.9147 3 1216.1898 17 -180031404 8 5 3 0     7 6 2 0     
 1207638.7300  0.0750 -0.7869 3  275.4970  9 -180031404 4 2 2 0     4 1 3 0     
 1215801.4590  0.0500 -4.7088 3 1590.6907 19 -180031404 9 6 4 0     8 7 1 0     
 1216311.7817  2.0005-13.1991 3 5947.3046129  18003140421 516 0    20 813 0     
 1219944.2627  0.0500 -4.2288 3 1590.6901 57 -180031404 9 6 3 0     8 7 2 0     
 1228788.7190  0.0750 -0.8549 3   95.1759  5 -180031404 2 2 0 0     2 1 1 0     
 1237170.5429  2.0795-12.9147 3 5471.9659 41  18003140420 515 0    21 418 0     
 1271473.1799  0.0980 -6.0559 3 2205.6528 27  18003140413 311 0    12 4 8 0     
 1271933.7914  1.3376-11.9843 3 5031.7939 39  18003140419 614 0    20 317 0     
 1278265.9220  0.0300 -2.6558 3  888.5988 45 -180031404 7 4 3 0     6 5 2 0     
 1286429.4612  4.1425-15.1343 3 6937.4063141  18003140423 518 0    22 815 0     
 1294692.7881  2.9682-13.6165 3 6177.3511135  18003140422 518 0    21 615 0     
 1296411.0550  0.0300 -2.6715 3  842.3566 51 -180031404 8 2 7 0     7 3 4 0     
 1300530.5217 10.2890-18.5059 3 8262.7631 51  18003140425 719 0    26 422 0     
 1307963.3010  0.0400 -3.7816 3 1079.0796 51 -180031404 8 4 5 0     9 1 8 0     
 1310808.0181  6.2944-14.5963 3 6433.1059 45  18003140422 517 0    21 814 0     
 1322064.8030  0.1500 -1.7674 3  508.8121 39 -180031404 6 2 5 0     5 3 2 0     
 1335279.2900  0.1500 -5.0510 3 2009.8051 63 -18003140410 7 4 0     9 8 1 0     
 1335985.0889  0.0947 -5.5276 3 2009.8050 21  18003140410 7 3 0     9 8 2 0     
 1344676.1600  0.0400 -3.9267 3  882.8904 15 -180031404 7 4 4 0     8 1 7 0     
 1377461.8174 12.0674-19.3316 3 8678.8969147  180031404241114 0    25 817 0     
 1378164.4118  0.1373 -7.1552 3 2872.2744 87  18003140414 510 0    15 213 0     
 1386267.5914  0.1958 -7.9356 3 2880.8343 27  18003140413 7 7 0    14 410 0     
 1393671.1416  8.9545-18.3766 3 8468.4997153  18003140425 718 0    241015 0     
 1410618.0690  0.0080 -0.3778 3  399.4575 33 -180031404 5 2 3 0     5 1 4 0     
 1435008.6310  0.0600 -4.5919 3 1293.0182 19 -180031404 9 4 6 0    10 1 9 0     
 1440781.6690  0.0200 -2.5470 3  661.5489 15 -180031404 7 2 6 0     6 3 3 0     
 1473128.1019  5.2195-15.9940 3 6844.1752 43  180031404211012 0    22 715 0     
