!Produced on 2013-10-29 02:22:33.096074
!Based on the ansatz of Andrew et al. 2009 (eq 1 - 5):
!2009 ApJ, 700, 1502
!Format:
!         8      5000       100        50
!(8ES18.9)
! radius            theta             dens_gas          T                 dens_dust         d2g_mass          d2g_num           r_dust            
   5.155203583e-01   6.541270421e-01   8.318059669e-59   0.000000000e+00   1.505976883e-72   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   6.819039472e-01   1.889073608e-54   0.000000000e+00   3.420150008e-68   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   7.096808524e-01   3.150958221e-50   0.000000000e+00   5.704780238e-64   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   7.374577575e-01   3.860142386e-46   0.000000000e+00   6.988751501e-60   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   7.652346626e-01   3.473209011e-42   0.000000000e+00   6.288212263e-56   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   7.930115677e-01   2.295225863e-38   0.000000000e+00   4.155484848e-52   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   8.207884728e-01   1.114004266e-34   0.000000000e+00   2.016894251e-48   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   8.485653779e-01   3.971139965e-31   0.000000000e+00   7.189711574e-45   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   8.763422830e-01   1.039705759e-27   0.000000000e+00   1.882377503e-41   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   9.041191882e-01   1.999275391e-24   0.000000000e+00   3.619669300e-38   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   9.318960933e-01   2.823590461e-21   0.000000000e+00   5.112083986e-35   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   9.596729984e-01   2.928853892e-18   0.000000000e+00   5.302662437e-32   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   9.874499035e-01   2.231313655e-15   0.000000000e+00   4.039772396e-29   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.015226809e+00   1.248505485e-12   0.000000000e+00   2.260407443e-26   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.043003714e+00   5.130824987e-10   0.000000000e+00   9.289310405e-24   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.070780619e+00   1.548641392e-07   0.000000000e+00   2.803800681e-21   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.098557524e+00   3.433060364e-05   0.000000000e+00   6.215523515e-19   1.000000000e-05   1.810490599e-14   2.207729393e-02
