! 2011-06-15 Wed 16:09:57
!   1. More species are included.
!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123
CH          CH4                     CH3         CH2                                  2.28E-11     0.70   3000.0   100   300  5 C NN
CH          CH4                     C2H4        H                                    1.05E-10    -1.04     36.0    23   300  5 A NN
CH          OH                      HCO         H                                    1.44E-11     0.50   5000.0   166   300  5 C NN
CH          NH3                     CH2NH       H                                    1.69E-10    -0.41     19.0    23  1300  5 B NN
CH          C2H2                    C3H2        H                                    3.39E-10     0.00      0.0    23   710  5 B NN
CH          N2                      HCN         N                                    5.60E-13     0.88  10128.0  1000  4000  5 B NN
CH          HCO                     CO          CH2                                  2.87E-12     0.70    500.0    16   300  5 C NN
CH          NO                      HCN         O                                    1.20E-10    -0.13      0.0    13  3790  5 A NN
CH          NO                      CN          OH                                   1.40E-10     0.00      0.0   298   298  5 A NN
CH          NO                      HCO         N                                    1.16E-11    -0.13      0.0    13   708  5 C NN
CH          NO                      OCN         H                                    4.10E-11     0.00      0.0   298   298  5 A NN
CH          H2CO                    HCO         CH2                                  9.21E-12     0.70   2000.0    66   300  5 C NN
CH          HNO                     NO          CH2                                  1.73E-11     0.00      0.0    10   300  5 C NN
CH          O2                      CO          OH                                   2.60E-11     0.00      0.0   298   298  5 A NN
CH          O2                      HCO         O                                    1.44E-11     0.70   3000.0   100  2365  5 A NN
CH          S                       HS          C                                    1.73E-11     0.50   4000.0   133   300  5 C NN
CH          S                       CS          H                                    5.00E-11     0.00      0.0    10   300  5 C NN
!CH          CH3OH                   CH3         H2CO                                 2.49E-10    -1.93      0.0   298   753  5 A NN
CH          O2H                     O2          CH2                                  2.94E-13     0.50   7550.0   251   300  5 C NN
CH          O2H                     HCO         OH                                   1.44E-11     0.50   3000.0   100   300  5 C NN
CH          CO2                     HCO         CO                                   2.94E-13     0.50   3000.0   100   300  5 C NN
N           CH2                     HCN         H                                    3.95E-11     0.17      0.0    10   300  5 B NN
N           CH2                     HNC         H                                    3.95E-11     0.17      0.0    10   300  5 B NN
N           NH                      N2          H                                    4.98E-11     0.00      0.0    10  1400  5 A NN
N           CH3                     HCN         H           H                        3.32E-13     0.00      0.0   253   352  5 A NN
N           CH3                     HCN         H2                                   1.30E-11     0.50      0.0    10   300  5 B NN
N           CH3                     H2CN        H                                    7.40E-11     0.26      8.4    10  2000  5 A NN
N           OH                      O           NH                                   1.88E-11     0.10  10700.0   300  2500  5 C NN
N           OH                      NO          H                                    7.50E-11    -0.18      0.0    10   100  5 A NN
N           C2                      CN          C                                    5.00E-11     0.00      0.0    10   300  5 C NN
N           C2H                     C2N         H                                    1.70E-11     0.00      0.0    10   300  5 C NN
N           CN                      N2          C                                    3.00E-10     0.00      0.0   298  2500  5 C NN
N           C2H3                    CH2CN       H                                    6.20E-11     0.00      0.0    10   300  5 C NN
N           C2H3                    C2H2        NH                                   1.20E-11     0.00      0.0    10   300  5 C NN
N           H2CN                    HCN         NH                                   1.00E-10     0.00    200.0   200  2500  5 C NN
N           HCO                     HCN         O                                    1.70E-10     0.00      0.0    10   300  5 C NN
N           HCO                     CO          NH                                   5.71E-12     0.50   1000.0    33   300  5 C NN
N           HCO                     OCN         H                                    1.00E-10     0.00      0.0    10   300  5 C NN
N           C2H5                    H2CN        CH3                                  3.85E-11     0.00      0.0    10   300  5 C NN
N           C2H5                    C2H4        NH                                   7.15E-11     0.00      0.0    10   300  5 C NN
N           SiH                     SiN         H                                    1.66E-10    -0.09      0.0    10   300  5 C NN
N           NO                      N2          O                                    3.75E-11     0.00     26.0   100  4000  5 A NN
N           SiH2                    HNSi        H                                    8.00E-11     0.17      0.0    10   300  5 C NN
N           HNO                     NO          NH                                   2.94E-12     0.50   1000.0    33   300  5 C NN
N           HNO                     N2O         H                                    1.43E-12     0.50   1500.0    50   300  5 C NN
N           SiH3                    HNSi        H2                                   1.00E-10     0.00      0.0    10   300  5 C NN
N           PH                      PN          H                                    5.00E-11     0.00      0.0    10   300  5 C NN
N           O2                      NO          O                                    2.26E-12     0.86   3134.0   200 14000  5 A NN
N           O2H                     O2          NH                                   1.70E-13     0.00      0.0    10   300  5 C NN
N           HS                      NS          H                                    1.00E-10     0.00      0.0    10   300  5 C NN
N           HS                      S           NH                                   1.73E-11     0.50   9060.0   302 41000  5 C NN
N           C3                      CN          C2                                   1.00E-13     0.00      0.0    10   300  5 C NN
N           C2N                     CN          CN                                   1.00E-10     0.00      0.0    10   300  5 C NN
N           SiC                     Si          CN                                   5.00E-11     0.00      0.0    10   300  5 C NN
N           SiC                     SiN         C                                    5.00E-11     0.00      0.0    10   300  5 C NN
N           C2O                     CN          CO                                   5.50E-10     0.00      0.0    10   300  5 C NN
N           CO2                     NO          CO                                   3.20E-13     0.00   1710.0   291   523  5 A NN
N           CS                      S           CN                                   3.80E-11     0.50   1160.0    38   300  5 C NN
N           PN                      P           N2                                   1.00E-18     0.00      0.0    10   300  5 C NN
N           HCS                     S           HCN                                  1.00E-10     0.00      0.0    10   300  5 C NN
N           NO2                     N2          O           O                        2.41E-12     0.00      0.0   300   300  5 A NN
N           NO2                     NO          NO                                   1.00E-12     0.00      0.0    10   300  5 C NN
N           NO2                     O2          N2                                   1.00E-12     0.00      0.0    10   300  5 C NN
N           NO2                     N2O         O                                    3.00E-12     0.00      0.0   200  2500  5 C NN
N           NS                      S           N2                                   3.00E-11    -0.60      0.0    10   300  5 C NN
N           PO                      P           NO                                   2.55E-12     0.00      0.0    10   300  5 C NN
N           PO                      PN          O                                    3.00E-11    -0.60      0.0    10   300  5 C NN
N           SO                      NS          O                                    4.68E-11     0.50   8254.0   275   300  5 C NN
N           SO                      S           NO                                   1.73E-11     0.50    750.0    25   300  5 C NN
N           S2                      NS          S                                    1.73E-11     0.50   4000.0   133   300  5 C NN
CH2         CH2                     CH3         CH                                   4.00E-10     0.00   5000.0   300  2500  5 C NN
CH2         CH2                     C2H2        H           H                        1.80E-10     0.00    400.0   300  3000  5 A NN
CH2         CH2                     C2H2        H2                                   2.63E-09     0.00   6013.0  1100  2720  5 A NN
CH2         CH2                     C2H3        H                                    3.32E-11     0.00      0.0  1600  2300  5 A NN
CH2         O                       OH          CH                                   4.98E-10     0.00   6000.0  1900  2300  5 A NN
CH2         O                       CO          H           H                        1.33E-10     0.00      0.0    10  2500  5 A NN
CH2         O                       CO          H2                                   8.00E-11     0.00      0.0  1900  2600  5 A NN
CH2         O                       HCO         H                                    5.01E-11     0.00      0.0  1200  1812  5 A NN
CH2         CH4                     CH3         CH3                                  7.13E-12     0.00   5050.0   296  2500  5 C NN
CH2         OH                      O           CH3                                  1.44E-11     0.50   3000.0   100   300  5 C NN
CH2         OH                      H2O         CH                                   1.44E-11     0.50   3000.0   100   300  5 C NN
CH2         OH                      H2CO        H                                    3.00E-11     0.00      0.0    10  2500  5 A NN
CH2         CN                      HCN         CH                                   5.30E-12     0.00   2500.0    83   300  5 C NN
