C4S         7.068507E-012
HC4S+       7.059065E-014
C7H5+       2.615049E-013
CH3C5NH+    8.570233E-015
C8H3+       3.418256E-015
C9H3+       2.799787E-015
CH3C7NH+    6.260907E-016
P+          1.532427E-011
O2+         1.148879E-012
PO+         6.477390E-013
C2N+        5.841034E-011
S2+         1.531947E-015
CCP+        2.000789E-014
H2NC+       4.825506E-011
CF+         5.007711E-012
CNC+        6.979859E-011
C-          1.447759E-014
CCl+        2.492336E-014
SiNC+       2.532798E-013
E-          3.068860E-008
C3S+        5.030330E-013
SiC4+       6.679600E-014
H3C5N+      8.674620E-014
H3C7N+      2.626269E-014
C10+        2.343419E-013
H3C9N+      2.915593E-015
CH2CO+      5.311858E-012
NS+         7.194298E-014
C4H5+       4.180740E-014
CH3C4H+     2.636529E-013
CH3C6H+     2.612631E-014
C9H4+       1.161964E-014
CH4N+       6.665049E-013
OCN+        7.891491E-016
H2CCl+      2.905801E-015
H2SiO+      3.058763E-016
PN+         8.936827E-015
OCS+        2.028257E-014
PCH3+       1.105937E-015
HCOOH2+     4.491065E-013
C6H4+       1.826428E-014
C8H4+       4.997769E-016
C2H7+       2.888906E-021
PNH2+       1.501929E-015
PNH3+       9.120287E-017
CH2NH2+     2.777479E-014
C2H5OH2+    1.454641E-015
HNCO+       2.483958E-017
N2O+        1.159596E-014
SiF+        4.768714E-014
C2O+        1.832593E-013
C4H7+       2.124851E-018
PC2H3+      1.053941E-019
CH3CS+      1.001479E-016
PC2H4+      7.235743E-020
CH3COCH3+   2.806302E-018
C4S+        1.910878E-013
CH3OH+      4.411986E-018
CH3CHO+     1.012318E-014
C2H5OH+     1.582780E-016
CH3OCH3+    6.662216E-020
COOCH4+     1.802145E-021
C4P+        5.096020E-018
ClO+        0.000000E+000
S-          3.977742E-017
HCOOH+      8.998588E-028
C3H2O+      2.546660E-015
H3C3O+      4.524486E-013
NCCNCH3+    1.902081E-018
C8H5+       4.073342E-018
C9H5+       8.479221E-021
