! Produced on 2013-11-01 00:52:23.414571
! Based on data files downloaded from the homepage of Draine:
! http://www.astro.princeton.edu/~draine/dust/dust.diel.html
! 
! Local input files:
! SiC: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/SiC_81
! silicate: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/suvSil_81
! graphite: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/Gra_81
! 
! Averaged over a power law distribution of grain size:
! rmin = 5.000e-02, rmax = 1.000e+01, index = -3.500
! 
! Then averaged over a few dust species based on the following weights:
! SiC: 3.000e-01 silicate: 6.000e-01 graphite: 1.000e-01 
! 
! iformat =      3
! nrows =    201
! 
! lambda             absor              scatter            g                 
! micron             cm2 g-1            cm2 g-1                              
  7.0790000000e+01   1.6614807075e+02   1.0148955605e+02   9.6423356535e-05
  7.4990000000e+01   1.4146643587e+02   7.4544790368e+01   9.7634790802e-05
  7.9430000000e+01   1.2035256631e+02   5.6667003832e+01   9.6471814766e-05
  8.4140000000e+01   1.0239679856e+02   4.3528757879e+01   9.2470936992e-05
  8.9130000000e+01   8.7462150039e+01   3.3560756859e+01   8.5357682018e-05
  9.4410000000e+01   7.5202158823e+01   2.5953591619e+01   7.7110022247e-05
  1.0000000000e+02   6.5225569211e+01   2.0121010112e+01   6.8738412791e-05
  1.0590000000e+02   5.7080641824e+01   1.5639080043e+01   5.9096592006e-05
  1.1220000000e+02   5.0285394453e+01   1.2177870280e+01   4.8523959101e-05
  1.1890000000e+02   4.4405184996e+01   9.5009684950e+00   3.7923104025e-05
  1.2590000000e+02   3.9011903707e+01   7.4248278896e+00   2.8130647057e-05
  1.3340000000e+02   3.3220323415e+01   5.7977808959e+00   1.9355020392e-05
  1.4130000000e+02   2.6365974331e+01   4.5415087360e+00   1.1710799130e-05
  1.4960000000e+02   2.1422807023e+01   3.5626793167e+00   5.3242370280e-06
  1.5850000000e+02   1.8338821696e+01   2.7978982582e+00   8.0883129138e-08
  1.6790000000e+02   1.5960226955e+01   2.2008983723e+00  -4.2608681557e-06
  1.7780000000e+02   1.3986595052e+01   1.7333010362e+00  -7.8676101229e-06
  1.8840000000e+02   1.2302530841e+01   1.3664385786e+00  -1.0889376246e-05
  1.9950000000e+02   1.0849364265e+01   1.0780509097e+00  -1.3393032696e-05
  2.1130000000e+02   9.5862575470e+00   8.5134592077e-01  -1.5449995716e-05
  2.2390000000e+02   8.4820779342e+00   6.7262258065e-01  -1.7157976319e-05
  2.3710000000e+02   7.5149092049e+00   5.3180056215e-01  -1.8537553525e-05
  2.5120000000e+02   6.6647252107e+00   4.2065056347e-01  -1.9654081920e-05
  2.6610000000e+02   5.9155814005e+00   3.3287213947e-01  -2.0517015137e-05
  2.8180000000e+02   5.2549524493e+00   2.6352668250e-01  -2.1192596859e-05
  2.9850000000e+02   4.6717696156e+00   2.0870891842e-01  -2.1679998077e-05
  3.1620000000e+02   4.1570599886e+00   1.6535020738e-01  -2.1910729262e-05
  3.3500000000e+02   3.7020872737e+00   1.3102105488e-01  -2.2112396590e-05
  3.5480000000e+02   3.2993949254e+00   1.0384598831e-01  -2.1859059677e-05
  3.7580000000e+02   2.9418849935e+00   8.2344236700e-02  -2.1864451234e-05
  3.9810000000e+02   2.6247182503e+00   6.5297592465e-02  -2.1365010410e-05
  4.2170000000e+02   2.3431874869e+00   5.1793693221e-02  -2.1225705379e-05
  4.4670000000e+02   2.0932816961e+00   4.1083270542e-02  -2.0562003023e-05
  4.7320000000e+02   1.8713300031e+00   3.2594675184e-02  -2.0325265717e-05
  5.0120000000e+02   1.6741572455e+00   2.5864138184e-02  -1.9576935425e-05
  5.3090000000e+02   1.4988766236e+00   2.0524230217e-02  -1.9267652454e-05
  5.6230000000e+02   1.3431250750e+00   1.6289141059e-02  -1.8458424801e-05
  5.9570000000e+02   1.2044795222e+00   1.2929655431e-02  -1.8111064374e-05
  6.3100000000e+02   1.0811813001e+00   1.0263340102e-02  -1.7286224638e-05
  6.6830000000e+02   9.7139247558e-01   8.1477812530e-03  -1.6918945922e-05
  7.0790000000e+02   8.7369228171e-01   6.4682160356e-03  -1.6081472682e-05
  7.4990000000e+02   7.8662557878e-01   5.1357122706e-03  -1.5700303710e-05
  7.9430000000e+02   7.0909614965e-01   4.0776597965e-03  -1.4882664684e-05
  8.4140000000e+02   6.4002735484e-01   3.2378906937e-03  -1.4499903145e-05
  8.9130000000e+02   5.7846496468e-01   2.5709658350e-03  -1.3698629901e-05
  9.4410000000e+02   5.2357592659e-01   2.0416833214e-03  -1.3329005838e-05
  1.0000000000e+03   4.7465619823e-01   1.6212557768e-03  -1.2563029404e-05
