The continuum subtraced TW Hya LH spectra from AOR 24402944
continuum fitting routine: fit_irs_spline_new.pro
To rebuild the full spectrum, please use continuum + continuum subracted
wavelength(um)   continuum(Jy)     continuum subtracted spectrum(Jy)
      26.0791       2.9182312     0.037228890
      26.0994       2.9178849     0.037555161
      26.1198       2.9174973     0.030932729
      26.1401       2.9170579     0.016812129
      26.1605       2.9165375    0.0042223672
      26.1807       2.9159050    0.0052449734
      26.2010       2.9150901       0.0000000
      26.2212       2.9140542    0.0084556622
      26.2414       2.9129013     0.015888779
      26.2617       2.9117593     0.022270716
      26.2818       2.9107812     0.018018937
      26.3020       2.9101162    0.0044937475
      26.3222       2.9099953    0.0051846892
      26.3423       2.9107399       0.0000000
      26.3624       2.9126385    0.0038816089
      26.3825       2.9154151   -0.0044250962
      26.4025       2.9187461    -0.011226039
      26.4226       2.9224658    0.0071341702
      26.4425       2.9263885    -0.023988469
      26.4625       2.9304882    -0.019038262
      26.4825       2.9346908    -0.014630897
      26.5025       2.9389608    -0.034410687
      26.5224       2.9432529    -0.013882961
      26.5424       2.9475957   -0.0046156940
      26.5623       2.9519358     0.010314226
      26.5821       2.9562670     0.085122953
      26.6020       2.9606290    -0.013058950
      26.6218       2.9649763    -0.025096444
      26.6416       2.9693298     0.021870165
      26.6614       2.9736897    0.0018103677
      26.6812       2.9780576   -0.0080976359
      26.7009       2.9824139     0.086046052
      26.7207       2.9868083    0.0033617339
      26.7404       2.9912038    0.0018761298
      26.7601       2.9956337    0.0074163804
      26.7798       3.0001169     0.011693158
      26.7995       3.0046799  -4.4408921e-16
      26.8190       3.0093005    0.0039095392
      26.8386       3.0140240   -0.0091540841
      26.8583       3.0188242   -0.0050440787
      26.8778       3.0236103   -0.0066303281
      26.8974       3.0284431     0.014006810
      26.9170       3.0332907   -0.0069707070
      26.9365       3.0381230    0.0023468650
      26.9560       3.0429606    0.0056393652
      26.9754       3.0477772    -0.011297209
      26.9949       3.0526190     0.019401046
      27.0143       3.0574356     0.030434325
      27.0338       3.0622746     0.058955283
      27.0532       3.0670836     0.053296312
      27.0726       3.0718845     0.024325542
      27.0920       3.0766725     0.031307496
      27.1113       3.0814166     0.048623311
      27.1306       3.0861312      0.13532891
      27.1499       3.0908011     0.058128994
      27.1692       3.0954034     0.023046485
      27.1885       3.0999034   -0.0049534539
      27.2078       3.1042500       0.0000000
      27.2270       3.1083690    0.0025409801
      27.2462       3.1123003    0.0059197659
      27.2654       3.1160531     0.010646834
      27.2846       3.1196072     0.029732722
      27.3038       3.1229087     0.034451349
      27.3229       3.1258457     0.046344213
      27.3421       3.1282933     0.036016709
      27.3611       3.1299801  -4.4408921e-16
      27.3802       3.1307242     0.069255771
      27.3993       3.1307323      0.16278765
      27.4184       3.1302454     0.024454598
      27.4374       3.1294265     0.094693450
      27.4565       3.1283678      0.15064223
      27.4754       3.1271482     0.097491711
      27.4944       3.1257819    0.0095280308
      27.5134       3.1242835     0.037946466
      27.5331       3.1225759     0.050054152
      27.5553       3.1204100       0.0000000
      27.5774       3.1179427     0.042877356
      27.5996       3.1152491     0.064450811
      27.6217       3.1124576     0.071092313
      27.6438       3.1096354      0.16314453
      27.6658       3.1068671      0.17835276
      27.6879       3.1042084      0.21271167
      27.7099       3.1017913      0.19707878
      27.7319       3.0997623     0.071677541
      27.7538       3.0983717    -0.011661721
      27.7756       3.0979900       0.0000000
      27.7975       3.0989674     0.085102702
      27.8194       3.1009553     0.079154707
      27.8413       3.1035748      0.10039516
      27.8631       3.1065739     0.063436205
      27.8850       3.1098291     0.086840922
      27.9068       3.1132145     0.095835432
      27.9285       3.1166648     0.044935361
      27.9503       3.1201657     0.050804282
      27.9720       3.1236466     0.064333315
      27.9937       3.1270849      0.10166511
      28.0154       3.1304323     0.048387627
      28.0371       3.1336208     0.046319170
      28.0587       3.1365354     0.015464589
      28.0803       3.1390335    0.0029564133
      28.1019       3.1408688     0.020221113
      28.1233       3.1416500       0.0000000
      28.1449       3.1410362    0.0074237324
      28.1664       3.1393943     0.019185765
      28.1879       3.1371222     0.045807809
      28.2094       3.1344821      0.11037785
      28.2309       3.1316577     0.076132218
      28.2523       3.1288064     0.048293593
      28.2737       3.1260492     0.025210733
      28.2951       3.1235401     0.013029900
      28.3165       3.1214849   0.00028504235
      28.3378       3.1201899   4.4408921e-16
      28.3590       3.1199100     0.022340080
      28.3803       3.1203592     0.022410894
      28.4016       3.1212199     0.041640047
      28.4229       3.1222573      0.12753262
      28.4441       3.1232695     0.036140534
      28.4653       3.1240616  -0.00019174705
      28.4865       3.1243890    0.0089211102
      28.5077       3.1239100   4.4408921e-16
      28.5289       3.1223298   -0.0013397937
      28.5498       3.1200274     0.019262737
      28.5709       3.1173448     0.040085177
      28.5920       3.1146213      0.13107860
      28.6131       3.1121686     0.045371504
      28.6342       3.1103547     0.026005229
      28.6552       3.1096779    0.0098420223
      28.6762       3.1108501       0.0000000
      28.6972       3.1145224     0.027497624
      28.7182       3.1200476     0.028672428
      28.7390       3.1266416     0.018408469
      28.7599       3.1339128     0.039587246
      28.7808       3.1414840     0.050345927
      28.8017       3.1490660     0.042813983
      28.8225       3.1563384    0.0047514934
      28.8434       3.1630310     0.018878995
      28.8642       3.1686201       0.0000000
      28.8850       3.1727287     0.011371172
      28.9056       3.1756937     0.043706268
      28.9264       3.1779714      0.11595867
      28.9472       3.1797876      0.11298231
      28.9679       3.1813018     0.066148321
      28.9886       3.1826303     0.021099824
      29.0093       3.1838424     0.012427592
      29.0299       3.1849791     0.021840898
      29.0504       3.1860735    0.0018964448
      29.0711       3.1871662     0.021813883
      29.0917       3.1882638     0.033696262
      29.1123       3.1893962     0.042243876
      29.1328       3.1905884     0.032501516
      29.1534       3.1918964     0.041203581
      29.1737       3.1933566     0.017223560
      29.1942       3.1951014     0.023648573
      29.2147       3.1972683    0.0011817619
      29.2352       3.2000899       0.0000000
      29.2557       3.2037746    0.0056253818
      29.2761       3.2080672     0.019642775
      29.2964       3.2127008     0.020389127
      29.3167       3.2175090     0.023840903
      29.3371       3.2223624     0.060007707
      29.3575       3.2270870     0.039473084
      29.3778       3.2314856     0.043454367
      29.3982       3.2353684     0.022401663
      29.4183       3.2383398     0.014340222
      29.4386       3.2399862   0.00061388225
      29.4575       3.2396400   4.4408921e-16
      29.4815       3.2358463     0.012913695
      29.5054       3.2294669     0.054413076
      29.5293       3.2216266     0.052723291
      29.5532       3.2130730     0.075737014
      29.5771       3.2043616     0.026558485
      29.6009       3.1960422     0.020277882
      29.6247       3.1886799       0.0000000
      29.6485       3.1828038     0.015166137
      29.6722       3.1780352     0.043084894
      29.6959       3.1739152   -0.0064552484
      29.7196       3.1701827     0.069797294
      29.7433       3.1666775     0.025382476
      29.7669       3.1633122    0.0060877669
      29.7906       3.1599901       0.0000000
      29.8139       3.1567444     0.044265630
      29.8374       3.1535252      0.15348470
      29.8610       3.1504126     0.085047458
      29.8845       3.1475282     0.063041911
      29.9080       3.1450091     0.034350844
      29.9315       3.1430994     0.014160530
      29.9549       3.1422000       0.0000000
      29.9783       3.1426750     0.024015131
      30.0017       3.1441286     0.040271446
      30.0251       3.1461380     0.031371990
      30.0484       3.1484109     0.016309115
      30.0718       3.1507551     0.013234887
      30.0951       3.1529557     0.015664378
      30.1183       3.1547879     0.038812017
      30.1416       3.1559501       0.0000000
      30.1647       3.1561434    0.0054166544
      30.1877       3.1556436     0.016726394
      30.2109       3.1547203     0.052029579
      30.2340       3.1535596   -0.0053595241
      30.2572       3.1522689      0.10168123
      30.2803       3.1509457      0.23235432
      30.3034       3.1496612     0.037298821
      30.3264       3.1485057     0.046644217
      30.3495       3.1475856      0.27687431
