He+         OD                      O+          He          D                       1.10E-09    -0.50      0.0    0.    0.  5     
H+          CD                      CH+         D                                   9.50E-10    -0.50      0.0    0.    0.  5     
H+          CH2D                    CH3+        D                                   8.50E-10     0.00      0.0    0.    0.  5     
H+          CHD2                    CH2D+       D                                   1.70E-09     0.00      0.0    0.    0.  5     
H+          CD3                     CHD2+       D                                   2.55E-09     0.00      0.0    0.    0.  5     
H+          NHD                     NH2+        D                                   9.67E-10    -0.50      0.0    0.    0.  5     
H+          ND2                     NHD+        D                                   1.93E-09    -0.50      0.0    0.    0.  5     
H+          C2D2                    C2HD+       D                                   3.60E-10     0.00      0.0    0.    0.  5     
H+          C2HD2                   C2H2D+      D                                   1.00E-09    -0.50      0.0    0.    0.  5     
H+          C2D3                    C2HD2+      D                                   1.50E-09    -0.50      0.0    0.    0.  5     
H+          HDCO                    H2CO+       D                                   9.87E-10    -0.50      0.0    0.    0.  5     
H+          D2CO                    HDCO+       D                                   1.97E-09    -0.50      0.0    0.    0.  5     
D-          S+                      S           D                                   2.30E-07    -0.50      0.0    0.    0.  5     
CH3D2+      E-                      CH3D        D                                   5.60E-09    -0.52      0.0    0.    0.  5     
CH2D3+      E-                      CH2D2       D                                   8.40E-09    -0.52      0.0    0.    0.  5     
CH2D3+      E-                      CHD         HD          D                       1.90E-08    -0.52      0.0    0.    0.  5     
CHD4+       E-                      CD2         HD          D                       1.90E-08    -0.52      0.0    0.    0.  5     
CHD4+       E-                      CHD         D2          D                       1.90E-08    -0.52      0.0    0.    0.  5     
N           CHD                     HCN         D                                   1.97E-11     0.17      0.0    0.    0.  5     
N           CHD                     HNC         D                                   1.97E-11     0.17      0.0    0.    0.  5     
CD2         O                       DCO         D                                   5.01E-11     0.00      0.0    0.    0.  5     
OD          S                       SO          D                                   6.60E-11     0.00      0.0    0.    0.  5     
HD+         He                      HeH+        D                                   6.50E-11     0.00      0.0    0.    0.  5     
H2          CHD3+                   CH3D2+      D                                   1.70E-11    -1.35     23.0    0.    0.  5     
H2          CD4+                    CH2D3+      D                                   2.27E-11    -1.35     23.0    0.    0.  5     
He+         DF                      F+          D           He                      1.10E-08    -0.50      0.0    0.    0.  5     
OD          S+                      SO+         D                                   6.10E-10    -0.50      0.0    0.    0.  5     
H+          OD                      OH+         D                                   1.05E-09    -0.50      0.0    0.    0.  5     
H+          CHD2OH                  CH3OD+      D                                   5.90E-11    -0.50      0.0    0.    0.  5     
H+          CH2DOD                  CH3OD+      D                                   5.90E-11    -0.50      0.0    0.    0.  5     
H+          CH3CDO                  CH3CHO+     D                                   7.20E-10    -0.50      0.0    0.    0.  5     
H+          CHD2CHO                 CH2DCHO+    D                                   1.08E-09    -0.50      0.0    0.    0.  5     
H+          CH2DCDO                 CH2DCHO+    D                                   1.08E-09    -0.50      0.0    0.    0.  5     
H+          CHD2CDO                 CHD2CHO+    D                                   1.08E-09    -0.50      0.0    0.    0.  5     
H+          CHD2CDO                 CH2DCDO+    D                                   1.08E-09    -0.50      0.0    0.    0.  5     
H+          D2CS                    HDCS+       D                                   3.13E-09    -0.50      0.0    0.    0.  5     
D-          He+                     He          D                                   2.30E-07    -0.50      0.0    0.    0.  5     
CD3+        E-                      CD          D           D                       2.00E-07    -0.40      0.0    0.    0.  5     
NHD2+       E-                      NH          D           D                       5.17E-08    -0.50      0.0    0.    0.  5     
CH2D3+      E-                      CH2D        D           D                       5.88E-08    -0.52      0.0    0.    0.  5     
CHD4+       E-                      CHD2        D           D                       1.18E-07    -0.52      0.0    0.    0.  5     
HDF+        E-                      HF          D                                   1.75E-07    -0.50      0.0    0.    0.  5     
D2CO+       E-                      CO          D           D                       5.00E-07    -0.50      0.0    0.    0.  5     
CH3OHD+     E-                      CH3OH       D                                   5.34E-09    -0.59      0.0    0.    0.  5     
CH2DOHD+    E-                      CH2DOH      D                                   8.01E-09    -0.59      0.0    0.    0.  5     
CH2DOHD+    E-                      CH3OD       D                                   2.67E-09    -0.59      0.0    0.    0.  5     
CH3OD2+     E-                      CH2DOH      D                                   8.01E-09    -0.59      0.0    0.    0.  5     
CH3OD2+     E-                      CH3OD       D                                   2.67E-09    -0.59      0.0    0.    0.  5     
CH2DOD2+    E-                      CHD2OH      D                                   8.01E-09    -0.59      0.0    0.    0.  5     
CH2DOD2+    E-                      CH2DOD      D                                   8.01E-09    -0.59      0.0    0.    0.  5     
