Network: WALMSLEY 2004
B. Parise -- 12 Nov. 2009

H       H	        pH2                                      2.50e-01 0.00e+00 0.00e+00 0  
pH3+    E               H       H       H                        5.10e-08-5.20e-01 0.00e+00 9
oH3+    E               H       H       H                        5.10e-08-0.52     0.00e+00 9
pH3+    E               pH2     H                                1.13e-08-0.52     0.00e+00 9
pH3+    E               oH2     H                                0.57e-08-0.52     0.00e+00 9
oH3+    E               oH2     H                                1.70e-08-0.52     0.00e+00 9
HD+     E               H       D                                3.40e-09-0.40     0.00e+00 9
pH2D+   E               H       H       D                        4.96e-08-0.52     0.00e+00 9 
oH2D+   E               H       H       D                        4.96e-08-0.52     0.00e+00 9
pH2D+   E               HD      H                                1.36e-08-0.52     0.00e+00 9
oH2D+   E               HD      H                                1.36e-08-0.52     0.00e+00 9
pH2D+   E               pH2     D                                4.76e-09-0.52     0.00e+00 9
oH2D+   E               oH2     D                                4.76e-09-0.52     0.00e+00 9
D2+     E               D       D 				 3.40e-09-4.00e-01 0.00e+00 9
HD2+    E               D  	D       H 			 4.96e-08-5.20e-01 0.00e+00 9 
HD2+  	E               HD  	D 				 1.36e-08-5.20e-01 0.00e+00 9
HD2+  	E               D2  	H 				 4.76e-09-5.20e-01 0.00e+00 9
D3+ 	E               D  	D       D 			 2.03e-08-5.00e-01 0.00e+00 9
D3+ 	E               D2 	D 				 6.75e-09-5.00e-01 0.00e+00 9 
H+      E               H                                        3.61e-12-0.75     0.00e+0010
HE+     E               HE                                       4.50e-12-0.67     0.00e+0010 
D+      E               D                                        3.61e-12-0.75     0.00e+0010
GRAIN-  H+              GRAIN0 	H 				 1.60e-06 0.50     0.00e+0015 
GRAIN- 	pH3+            GRAIN0 	pH2     H 			 3.07e-07 0.50 	   0.00e+0015 
GRAIN-  pH3+            GRAIN0  oH2     H 			 1.54e-07 0.50 	   0.00e+0015 
GRAIN-  oH3+            GRAIN0  oH2     H 			 4.61e-07 0.50 	   0.00e+0015 
GRAIN-  pH3+            GRAIN0  H 	H      	H		 4.61e-07 0.50 	   0.00e+0015 
GRAIN-  oH3+            GRAIN0  H       H       H 		 4.61e-07 0.50 	   0.00e+0015 
GRAIN-  HE+             GRAIN0  HE 				 8.00e-07 0.50 	   0.00e+0015 
GRAIN0  H+              GRAIN+  H 				 1.60e-06 0.50 	   0.00e+0015 
GRAIN0  pH3+            GRAIN+  pH2  	H 			 3.07e-07 0.50 	   0.00e+0015 
GRAIN0  pH3+            GRAIN+  oH2     H 			 1.54e-07 0.50     0.00e+0015 
GRAIN0  oH3+            GRAIN+  oH2     H 			 4.61e-07 0.50 	   0.00e+0015 
GRAIN0  pH3+            GRAIN+  H       H       H 		 4.61e-07 0.50 	   0.00e+0015 
GRAIN0  oH3+            GRAIN+  H       H       H 		 4.61e-07 0.50     0.00e+0015 
