! Produced on 2013-10-28 18:33:18.643815
! Based on data files downloaded from the homepage of Draine:
! http://www.astro.princeton.edu/~draine/dust/dust.diel.html
! 
! Local input files:
! SiC: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/SiC_81
! silicate: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/suvSil_81
! graphite: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/Gra_81
! 
! Averaged over a power law distribution of grain size:
! rmin = 1.000e-02, rmax = 1.000e+01, index = -3.500
! 
! Then averaged over a few dust species based on the following weights:
! SiC: 3.000e-01 silicate: 5.000e-01 graphite: 2.000e-01 
! 
! iformat =      3
! nrows =    241
! 
! lambda             absor              scatter            g                 
! micron             cm2 g-1            cm2 g-1                              
  1.6790000000e+00   1.4702717427e+03   4.6112967167e+03   1.6425659856e-03
  1.7780000000e+00   1.4422327882e+03   4.4688567042e+03   1.4745889895e-03
  1.8840000000e+00   1.4031392242e+03   4.2901091034e+03   1.3238769364e-03
  1.9950000000e+00   1.3741674354e+03   4.1489226119e+03   1.1881321738e-03
  2.1130000000e+00   1.3410392362e+03   3.9830558043e+03   1.0657589199e-03
  2.2390000000e+00   1.3102507818e+03   3.8454661110e+03   9.5578479992e-04
  2.3710000000e+00   1.2810376605e+03   3.6909560010e+03   8.5751840061e-04
  2.5120000000e+00   1.2485547072e+03   3.5592121698e+03   7.6809569775e-04
  2.6610000000e+00   1.2221800882e+03   3.4141698356e+03   6.8785513915e-04
  2.8180000000e+00   1.1900873374e+03   3.2874291907e+03   6.1594890975e-04
  2.9850000000e+00   1.1657487394e+03   3.1510188931e+03   5.5188582045e-04
  3.1620000000e+00   1.1331391425e+03   3.0307428383e+03   4.9391137111e-04
  3.3500000000e+00   1.1123218228e+03   2.9008007245e+03   4.4199639812e-04
  3.5480000000e+00   1.0807522655e+03   2.7853674323e+03   3.9541594176e-04
  3.7580000000e+00   1.0574198120e+03   2.6647269436e+03   3.5358529836e-04
  3.9810000000e+00   1.0265157679e+03   2.5538555450e+03   3.1555403114e-04
  4.2170000000e+00   1.0026912679e+03   2.4397910370e+03   2.8158806794e-04
  4.4670000000e+00   9.7233437993e+02   2.3325349691e+03   2.5081360881e-04
  4.7320000000e+00   9.4827807892e+02   2.2207531113e+03   2.2308023631e-04
  5.0120000000e+00   9.2272569993e+02   2.1131883678e+03   1.9816738741e-04
  5.3090000000e+00   9.0027169752e+02   2.0017990852e+03   1.7565120579e-04
  5.6230000000e+00   8.8058459446e+02   1.8879254665e+03   1.5557933269e-04
  5.9570000000e+00   8.6377877661e+02   1.7695056311e+03   1.3745785763e-04
  6.3100000000e+00   8.4625875183e+02   1.6457525116e+03   1.2231188232e-04
  6.6830000000e+00   8.2663632953e+02   1.5199994529e+03   1.0644928090e-04
  7.0790000000e+00   8.0284932289e+02   1.3773493057e+03   9.2753670354e-05
  7.4990000000e+00   8.2222114651e+02   1.1484622243e+03   7.9997624807e-05
  7.9430000000e+00   1.0093875104e+03   8.9410954618e+02   6.7949848854e-05
  8.4140000000e+00   1.3446227424e+03   8.5197441562e+02   5.7507035897e-05
  8.9130000000e+00   1.6616994948e+03   8.2997559539e+02   4.8166633618e-05
  9.4410000000e+00   2.0543833040e+03   8.2941241754e+02   3.9778796671e-05
  1.0000000000e+01   2.2624621793e+03   8.3992795484e+02   3.3129587395e-05
  1.0590000000e+01   2.6705526073e+03   1.0362424191e+03   2.6285317599e-05
  1.1220000000e+01   2.0182997122e+03   1.1986455259e+03   1.9321916072e-05
  1.1890000000e+01   1.4846940918e+03   1.1378459211e+03   1.1688343184e-05
  1.2590000000e+01   1.2893252307e+03   1.0187998185e+03   2.5386932714e-05
  1.3340000000e+01   1.1998178871e+03   9.2714827215e+02   4.1466683192e-05
  1.4130000000e+01   1.0962990995e+03   8.5757440215e+02   3.2519285653e-05
  1.4960000000e+01   1.0673274699e+03   7.8939966005e+02   2.4613873533e-05
  1.5850000000e+01   1.0783421460e+03   7.4299613218e+02   1.8827281609e-05
  1.6790000000e+01   1.1074491583e+03   7.1851409103e+02   1.4200225474e-05
  1.7780000000e+01   1.1269340106e+03   7.0859555405e+02   1.0462890573e-05
  1.8840000000e+01   1.1138794997e+03   7.0701043276e+02   7.3993153344e-06
  1.9950000000e+01   1.0545255448e+03   7.0057159318e+02   4.6511100321e-06
  2.1130000000e+01   9.7499837421e+02   6.7867464233e+02   2.4381655348e-06
  2.2390000000e+01   9.1578304312e+02   6.6318354859e+02   6.8265046865e-07
  2.3710000000e+01   8.5017202395e+02   6.3357123169e+02  -8.1586250604e-07
  2.5120000000e+01   7.9679388574e+02   6.1231666358e+02  -2.5303713714e-06
  2.6610000000e+01   7.4490051863e+02   5.8105849470e+02  -3.6829771305e-06
  2.8180000000e+01   6.9452965244e+02   5.5470731841e+02  -4.4456403138e-06
